﻿編號,行政區,機構類別,合約醫療院所名稱,連絡電話,地址
289,南區,合約醫療院所,康翔耳鼻喉科診所,(04)22652208,臺中市南區福順里復興路二段81號1樓
290,南區,合約醫療院所,淵元兒科診所,(04)23755460,臺中市南區西川里南屯路一段271號
291,南區,合約醫療院所,陳長庚診所,(04)22632566,臺中市南區福平里復興路二段133-1號
292,南區,合約醫療院所,陳鉉煒小兒診所科,(04)22861566,臺中市南區城隍里臺中路156號
293,南區,合約醫療院所,陳豪江診所,(04)22622132,臺中市南區福順里復興路二段100號
294,南區,合約醫療院所,陳德義小兒科診所,(04)22650913,臺中市南區永興里美村南路147號
295,南區,合約醫療院所,復興家庭醫學科診所,(04)22200482,臺中市南區長榮里復興路三段235號
296,南區,合約醫療院所,楊基瓏耳鼻喉科診所,(04)22243343,臺中市南區新榮里復興路三段148之2號
297,南區,合約醫療院所,瑞銘小兒科診所,(04)22652116,臺中市南區南和里工學路140號
298,南區,合約醫療院所,慶燿診所,(04)22872877,臺中市南區國光里國光路241號
299,南區,合約醫療院所,穎眾兒科診所,(04)22603549,臺中市南區工學里東興路一段7號
300,南區,合約醫療院所,羅倫檭診所,(04)22871048,臺中市南區國光里仁和路185號
301,東區,衛生所,臺中市東區衛生所,(04)22834121,臺中市東區信義街142號
302,東區,合約醫療院所,臺安醫院,(04)23602000,臺中市東區進化路203號
303,東區,合約醫療院所,中國醫藥大學附設醫院東區分院,(04)22121058,臺中市東區自由路三段296號
304,東區,合約醫療院所,華幼診所,(04)23600099,臺中市東區進化路211號
305,東區,合約醫療院所,陳國華小兒科,(04)23601245,臺中市東區進化路218之1號
306,東區,合約醫療院所,豊府診所,(04)22126228,臺中市東區旱溪東路一段293號
307,東區,合約醫療院所,佑佑診所,(04)22125628,臺中市東區十甲路501號
308,東區,合約醫療院所,祐幼診所,(04)22235114,臺中市東區臺中路121號
309,東區,合約醫療院所,安東診所,(04)22155788,臺中市東區樂業路226號
310,東區,合約醫療院所,詠馨診所,(04)22236216,臺中市東區大智路39號
311,東區,合約醫療院所,惟康耳鼻喉科診所,(04)22808716,臺中市東區建成路662號
312,東區,合約醫療院所,兆揚內科診所,(04)22121311,臺中市東區十甲路426號
313,東區,合約醫療院所,福仁診所,(04)22110315,臺中市東區福仁街146號1樓
314,東區,合約醫療院所,翔新診所,(04)22110707,臺中市東區十甲東路768號
315,東區,合約醫療院所,芯康診所,(04)22139666,臺中市東區樂業南路156號
316,東區,合約醫療院所,台新醫院,(04)22139966,臺中市東區振興路441號
317,大里區,衛生所,臺中市大里區衛生所,(04)24061500,臺中市大里區大衛路82號
318,大里區,合約醫療院所,大里陳內小兒科診所,(04)24835484,臺中市大里區大里路19號
319,大里區,合約醫療院所,小博仕診所,(04)24876666,臺中市大里區大明路302號
320,大里區,合約醫療院所,仁化診所,(04)24917887,臺中市大里區仁化路534號
321,大里區,合約醫療院所,仁愛醫療財團法人大里仁愛醫院,(04)24819900,臺中市大里區東榮路483號
322,大里區,合約醫療院所,台安診所,(04)22754666,臺中市大里區立仁路97號
323,大里區,合約醫療院所,永蘊豐禾診所,(04)24830510,臺中市大里區中興路二段111之2號
324,大里區,合約醫療院所,立人耳鼻喉科診所,(04)24832555,臺中市大里區益民路二段55號
325,大里區,合約醫療院所,江宗龍小兒科診所,(04)24821555,臺中市大里區益民路二段323號
326,大里區,合約醫療院所,吳昭寬耳鼻喉科診所,(04)24836555,臺中市大里區東榮路一段128號
327,大里區,合約醫療院所,李文軒耳鼻喉科診所,(04)24872898,臺中市大里區益民路二段271號
328,大里區,合約醫療院所,李良小兒科診所,(04)24810998,臺中市大里區益民路二段119號
329,大里區,合約醫療院所,沈宗憲診所,(04)24837655,臺中市大里區中興路二段712號
330,大里區,合約醫療院所,沛然診所,(04)24872121,臺中市大里區大明路189號
331,大里區,合約醫療院所,卓立復健科診所,(04)24835525,臺中市大里區大里路98之1號
332,大里區,合約醫療院所,欣仁診所,(04)24075266,臺中市大里區東榮路501號
333,大里區,合約醫療院所,長青診所,(04)24914476,臺中市大里區仁化路582號1樓
334,大里區,合約醫療院所,香光小兒科診所,(04)24825105,臺中市大里區中興路二段392之1號
335,大里區,合約醫療院所,悅安診所,(04)24838287,臺中市大里區大里路40號
336,大里區,合約醫療院所,祐生診所,(04)24814981,臺中市大里區東明路231號
337,大里區,合約醫療院所,軒宇診所,(04)24067095,臺中市大里區永隆路11號1樓
338,大里區,合約醫療院所,健民診所,(04)24912812,臺中市大里區健民路83之7號1樓
339,大里區,合約醫療院所,陳建利診所,(04)24935145,臺中市大里區成功路385號2樓
340,大里區,合約醫療院所,陳祥雪小兒科診所,(04)24850052,臺中市大里區新生西路42號
341,大里區,合約醫療院所,博生婦產科診所,(04)24839277,臺中市大里區德芳南路352號
342,大里區,合約醫療院所,惠群診所,(04)22761141,臺中市大里區新仁路一段123之10號
343,大里區,合約醫療院所,揚仁診所,(04)22756595,臺中市大里區新甲路1號
344,大里區,合約醫療院所,新菩提醫院,(04)24829966,臺中市大里區中興路二段621號
345,大里區,合約醫療院所,楊文澤小兒科診所,(04)24930319,臺中市大里區塗城路864號
346,大里區,合約醫療院所,聖心診所,(04)24872100,臺中市大里區東榮路350號
347,大里區,合約醫療院所,廖正雄小兒科診所,(04)24938497,臺中市大里區中興路一段167號
348,大里區,合約醫療院所,睿恩診所,(04)24822000,臺中市大里區國光路二段636號
349,大里區,合約醫療院所,劉彥昇診所,(04)24912812,臺中市大里區健民路83之7號1樓
350,大里區,合約醫療院所,蔡政益小兒科診所,(04)24870721,臺中市大里區益民路二段169號
351,大里區,合約醫療院所,顏安耳鼻喉科診所,(04)24872999,臺中市大里區益民路二段317號
352,大里區,合約醫療院所,魏文宏診所,(04)24862592,臺中市大里區中興路二段229號
353,大里區,合約醫療院所,霧峰澄清醫院,(04)24922000,臺中市大里區成功路55號
354,大里區,合約醫療院所,顧耳鼻喉科診所,(04)24966988,臺中市大里區塗城路532號
355,大里區,合約醫療院所,濟弘診所,(04)24861279,臺中市大里區中興路二段731號1樓
356,大里區,合約醫療院所,博佑診所,(04)24920606,臺中市大里區塗城路546號1樓
357,太平區,衛生所,臺中市太平區衛生所,(04)23938083,臺中市太平區中山路一段213之1號
358,太平區,合約醫療院所,宥苗診所,(04)23934406,台中市太平區育賢路335號
359,太平區,合約醫療院所,恆欣小兒科診所,(04)22737419,臺中市太平區新平路一段108號
360,太平區,合約醫療院所,惠欣婦產科診所,(04)22737419,臺中市太平區新平路一段108號
361,太平區,合約醫療院所,安欣婦產科診所,(04)23925666,臺中市太平區樹孝路6-2號
362,太平區,合約醫療院所,康祐診所,(04)23931234,臺中市太平區中山路一段220號
363,太平區,合約醫療院所,國軍臺中總醫院附設民診處,(04)23934191,臺中市太平區中山路二段348號
364,太平區,合約醫療院所,馮少雄小兒科診所,(04)22783060,臺中市太平區中平路121號
365,太平區,合約醫療院所,建志耳鼻喉科診所,(04)22766899,臺中市太平區中興路110號
366,太平區,合約醫療院所,卓小兒科診所,(04)22769879,臺中市太平區中興路51-2號
367,太平區,合約醫療院所,文貴旺診所,(04)22794321,臺中市太平區太平路326號
368,太平區,合約醫療院所,禎宏診所,(04)23959209,臺中市太平區新興路22號
369,太平區,合約醫療院所,家宜診所,(04)23937373,臺中市太平區樹孝路506號
370,太平區,合約醫療院所,弘鑫耳鼻喉科診所,(04)23933595,臺中市太平區樹孝路202號
371,太平區,合約醫療院所,耀仁診所,(04)23939815,臺中市太平區樹孝路39-7號
372,太平區,合約醫療院所,幼康小兒科診所,(04)22738885,臺中市太平區中山路三段139號
373,太平區,合約醫療院所,蔡醫師小兒科診所,(04)22770206,臺中市太平區宜昌路556號
374,太平區,合約醫療院所,長安醫院,(04)36113611,臺中市太平區永平路一段9號
375,太平區,合約醫療院所,祥威新光耳鼻喉科,(04)23938119,臺中市太平區育賢路350號
376,太平區,合約醫療院所,珞誠診所,(04)23931514,臺中市太平區立功路288號
377,太平區,合約醫療院所,新勝診所,(04)22785988,臺中市太平區中平里中平九街38號
378,太平區,合約醫療院所,洪士明診所,(04)22730640,臺中市太平區宜昌里宜昌路527號
379,太平區,合約醫療院所,勤益診所,(04)23933999,臺中市太平區坪林里中山路一段319號1樓
380,太平區,合約醫療院所,佳恩聯合診所,(04)23926762,臺中市太平區光明里中山路二段372之1號
381,太平區,合約醫療院所,慶華診所,(04)23925519,臺中市太平區光明里中山路二段412之1號
382,太平區,合約醫療院所,健康診所,(04)23927267,臺中市太平區光明里中山路二段434號
383,太平區,合約醫療院所,賢德醫院,(04)22732551,臺中市太平區宜昌里宜昌路420號
384,太平區,合約醫療院所,宜欣診所,(04)22765683,臺中市太平區宜佳里宜佳街10號
385,太平區,合約醫療院所,美馥兒婦產科診所,(04)23929266,臺中市太平區新城里樹孝路259號
386,太平區,合約醫療院所,黃健郎耳鼻喉科診所,(04)23917936,臺中市太平區新城里樹孝路14號
387,太平區,合約醫療院所,太平王耳鼻喉科診所,(04)22709170,臺中市太平區中興里中興路58號
388,太平區,合約醫療院所,正安診所,(04)23959822,臺中市太平區新光里樹德路69巷4號
389,太平區,合約醫療院所,榮平診所,(04)22766133,臺中市太平區永平里東平路513號
390,太平區,合約醫療院所,新太平澄清醫院,(04)22789900,臺中市太平區中興里中興路100號
391,太平區,合約醫療院所,呂其嘉婦產科診所,(04)22750158,臺中市太平區中平里中平路151之5號
392,太平區,合約醫療院所,順輝內科診所,(04)22786845,臺中市太平區中平里成功東路2號
393,太平區,合約醫療院所,順智診所,(04)22772766,臺中市太平區長億里太平路95號
394,太平區,合約醫療院所,健友診所,(04)22777687,臺中市太平區光隆里興隆路一段238號
395,太平區,合約醫療院所,安興診所,(04)22705412,臺中市太平區光隆里興隆路一段248號
396,太平區,合約醫療院所,天乙診所,(04)22760110,臺中市太平區太平里新仁路一段154號
397,太平區,合約醫療院所,新福診所,(04)23952945,臺中市太平區新福十街1-1號之1
398,豐原區,衛生所,臺中市豐原區衛生所,(04)25261170,臺中市豐原區中興路136號
399,豐原區,合約醫療院所,衛生福利部豐原醫院,(04)25271180,臺中市豐原區安康路100號
400,豐原區,合約醫療院所,杏豐醫院,(04)25234112,臺中市豐原區三民路106號
401,豐原區,合約醫療院所,漢忠醫院,(04)25222209,臺中市豐原區中正路218號
402,豐原區,合約醫療院所,豐安醫院,(04)25231181,臺中市豐原區中正路115號
403,豐原區,合約醫療院所,中國醫藥大學附設醫院豐原分院,(04)25222538,臺中市豐原區中正路199號
404,豐原區,合約醫療院所,惠盛醫院,(04)25229100,臺中市豐原區中正路268號
405,豐原區,合約醫療院所,祥恩醫院,(04)25255522,臺中市豐原區中興路35號
406,豐原區,合約醫療院所,新惠生醫院,(04)25228792,臺中市豐原區圓環北路一段319號
407,豐原區,合約醫療院所,林永祥小兒科診所,(04)25250995,臺中市豐原區中正路89號
408,豐原區,合約醫療院所,豐原惠生小兒科診所,(04)25289981,臺中市豐原區圓環北路一段319-1號
409,豐原區,合約醫療院所,楊啟坤耳鼻喉科診所,(04)25279800,臺中巿豐原區豐東路16號1樓
410,豐原區,合約醫療院所,晨欣親子診所,(04)25256525,臺中市豐原區豐東路83號
411,豐原區,合約醫療院所,佳藝診所,(04)25132240,臺中市豐原區豐勢路二段388號
412,豐原區,合約醫療院所,林政光小兒科診所,(04)25263342,臺中市豐原區府前街96號
413,豐原區,合約醫療院所,長庚黃啟昌診所,(04)25287928,臺中市豐原區中正路289號
414,豐原區,合約醫療院所,許躍騰診所,(04)25222010,臺中市豐原區中正路222號
415,豐原區,合約醫療院所,許慶芳耳鼻喉科診所,(04)25292857,臺中市豐原區中山路506號
416,豐原區,合約醫療院所,佳幼診所,(04)25296336,臺中市豐原區中正路264號
417,豐原區,合約醫療院所,吳志修耳鼻喉科診所,(04)25120295,臺中市豐原區中山路347號
418,豐原區,合約醫療院所,王思博耳鼻喉科診所,(04)25155266,臺中市豐原區中正路272號
419,豐原區,合約醫療院所,林大丕小兒科診所,(04)25282345,臺中市豐原區三民路130號
420,豐原區,合約醫療院所,優生聯合婦產科診所,(04)25273395,臺中市豐原區中正路282號
421,豐原區,合約醫療院所,呂維國婦產科診所,(04)25262889,臺中市豐原區中正路348號
422,豐原區,合約醫療院所,仁德診所,(04)25278561,臺中市豐原區中山路295號
423,豐原區,合約醫療院所,呂振升內科診所,(04)25289896,臺中市豐原區圓環東路656號
424,豐原區,合約醫療院所,禾安診所,(04)25231588,臺中市豐原區永康路312號1樓
425,豐原區,合約醫療院所,豐原李耳鼻喉科診所,(04)25291915,臺中市豐原區南陽路295號
426,豐原區,合約醫療院所,中新診所,(04)25227308,臺中市豐原區中正路136號
427,豐原區,合約醫療院所,親親診所,(04)25312345,臺中市豐原區中山路162號
428,豐原區,合約醫療院所,光妍皮膚科診所,(04)25205892,臺中市豐原區中正路377號
429,豐原區,合約醫療院所,劉銘郎內科診所,(04)25159418,臺中市豐原區中正路83號
430,豐原區,合約醫療院所,陳成福診所,(04)25225049,臺中市豐原區和平街47號
431,豐原區,合約醫療院所,禾醫診所,(04)25297411,臺中市豐原區豐南街246號
432,豐原區,合約醫療院所,謝錦松內小兒科診所,(04)25241310,臺中市豐原區中正路394號
433,豐原區,合約醫療院所,謝榮吉診所,(04)25283295,臺中市豐原區南陽路299-6號
434,豐原區,合約醫療院所,永福診所,(04)25280042,臺中市豐原區中正路701號
435,豐原區,合約醫療院所,保生診所,(04)25222367,臺中市豐原區中正路317號
436,豐原區,合約醫療院所,大順診所,(04)25250667,臺中市豐原區北陽路138號
437,豐原區,合約醫療院所,祐和診所,(04)25255013,臺中市豐原區圓環東路511號
438,潭子區,衛生所,臺中市潭子區衛生所,(04)25324643,臺中市潭子區中山路二段241巷5號
439,潭子區,合約醫療院所,普霖小兒科診所,(04)25291159,臺中市潭子區復興路一段55號
440,潭子區,合約醫療院所,何孟哲診所,(04)25359173,臺中市潭子區勝利路273號
441,潭子區,合約醫療院所,家興診所,(04)25319968,臺中市潭子區中山路一段37號一樓
442,潭子區,合約醫療院所,佛教慈濟醫療財團法人台中慈濟醫院,(04)36060666,臺中市潭子區豐興路一段66、88號
443,潭子區,合約醫療院所,品安診所,(04)25350580,臺中市潭子區勝利路166號
444,潭子區,合約醫療院所,佳佑診所,(04)25336888,臺中市潭子區勝利路319號
445,潭子區,合約醫療院所,博文耳鼻喉科診所,(04)25320707,臺中市潭子區中山路一段99號
446,潭子區,合約醫療院所,賴淵聖小兒科診所,(04)25389096,臺中市潭子區福潭路508號
447,潭子區,合約醫療院所,潭子林外科診所,(04)25325879,臺中市潭子區中山路二段384-6號
448,潭子區,合約醫療院所,潭子謝小兒科內科診所,(04)25339664,臺中市潭子區中山路2段384號
449,潭子區,合約醫療院所,潭興診所,(04)25362225,臺中市潭子區潭興路二段460號
450,潭子區,合約醫療院所,丰辰診所,(04)25350967,臺中市潭子區潭興路三段110號
451,潭子區,合約醫療院所,高進診所,(04)25348088,臺中市潭子區大通街26號
452,潭子區,合約醫療院所,安泰診所,(04)25352796,臺中市潭子區潭興路三段85號
453,潭子區,合約醫療院所,林明亮診所,(04)25322246,臺中市潭子區頭張路一段3號
454,潭子區,合約醫療院所,淨新診所,(04)25333399,臺中市潭子區中山路二段391巷5號
455,潭子區,合約醫療院所,游振國小兒科診所,(04)25321233,臺中市潭子區雅潭路一段165號
456,潭子區,合約醫療院所,林啓忠診所,(04)25377563,臺中市潭子區福潭路503號
457,潭子區,合約醫療院所,周肇銘診所,(04)25335451,臺中市潭子區中山路二段394號
458,潭子區,合約醫療院所,泰昌診所,(04)25329061,臺中市潭子區頭張路一段88號
459,潭子區,合約醫療院所,全球健康診所,(04)25340212,臺中市潭子區南環路5號
460,潭子區,合約醫療院所,人愛診所,(04)25368299,臺中市潭子區潭興路2段394號
461,潭子區,合約醫療院所,林田診所,(04)25380218,臺中市潭子區合作街53號
462,大雅區,衛生所,臺中市大雅區衛生所,(04)25661091,臺中市大雅區中清東路232號
463,大雅區,合約醫療院所,林釗尚小兒科診所,(04)25600313,臺中市大雅區大雅路151號
464,大雅區,合約醫療院所,廖耳鼻喉科診所,(04)25694118,臺中市大雅區民興街25號
465,大雅區,合約醫療院所,大中小兒科診所,(04)25607116,臺中市大雅區雅潭路四段711號
466,大雅區,合約醫療院所,愛生家庭醫學科診所,(04)25601402,臺中市大雅區學府路417號
467,大雅區,合約醫療院所,吳耳鼻喉科診所,(04)25683001,臺中市大雅區學府路333號
468,大雅區,合約醫療院所,緻為耳鼻喉科診所,(04)25668655,臺中市大雅區雅環路一段338號
469,大雅區,合約醫療院所,得康診所,(04)25609961,臺中市大雅區雅環路三段57號
470,大雅區,合約醫療院所,長榮耳鼻喉科診所,(04)25669988,臺中市大雅區雅潭路四段822號
471,大雅區,合約醫療院所,清泉醫院,(04)25605600,臺中市大雅區雅潭路四段80號
472,大雅區,合約醫療院所,維弘復健科診所,(04)25605988,臺中市大雅區民興街63號
473,大雅區,合約醫療院所,雅林診所,(04)25687742,臺中市大雅區神林南路633號
474,大雅區,合約醫療院所,長安診所,(04)25609988,臺中市大雅區民興街57號
475,大雅區,合約醫療院所,台光診所,(04)25674548,臺中市大雅區民生路一段71號1樓
476,大雅區,合約醫療院所,國光內科診所,(04)25685099,臺中市大雅區中清東路75號
477,大雅區,合約醫療院所,宗澤診所,(04)25683943,臺中市大雅區中山北路492號
478,大雅區,合約醫療院所,陳台祝診所,(04)25680299,臺中市大雅區學府路171號
479,清水區,衛生所,臺中市清水區衛生所,(04)26222639,臺中市清水區中山路92號
480,清水區,合約醫療院所,楊超博診所,(04)26229595,臺中市清水區中山路151-8號
481,清水區,合約醫療院所,萬安診所,(04)26227823,臺中市清水區中山路126-2號
482,清水區,合約醫療院所,清水祥和診所,(04)26232191,臺中市清水區五權東路81號
483,清水區,合約醫療院所,紀小兒科內科診所,(04)26228596,臺中市清水區中興街66號
484,清水區,合約醫療院所,順風耳鼻喉科,(04)26226161,臺中市清水區鎮南街41號
485,清水區,合約醫療院所,明哲診所,(04)26227661,臺中市清水區中山路449-1號
486,清水區,合約醫療院所,林澤民小兒科診所,(04)26233935,臺中市清水區中山路242-1號
487,清水區,合約醫療院所,林玉彪診所,(04)26233880,臺中市清水區光華路135號
488,清水區,合約醫療院所,德安診所,(04)26223169,臺中市清水區鰲峰路36-3號
489,清水區,合約醫療院所,嘉佑診所,(04)26275066,臺中市清水區高美路117-3號
490,清水區,合約醫療院所,清水區向陽耳鼻喉科診所,(04)26228595,臺中市清水區中山路243-2號
491,清水區,合約醫療院所,陳振昆診所,(04)26225205,臺中市清水區中山路127號
492,清水區,合約醫療院所,優醫五權健康診所,(04)26261285,臺中市清水區五權路59-5號1樓
493,清水區,合約醫療院所,顏耳鼻喉科診所,(04)26220765,臺中市清水區光復街110號
494,清水區,合約醫療院所,蔡篤煌診所,(04)26225690,臺中市清水區西寧路15號
495,清水區,合約醫療院所,何耳鼻喉科診所,(04)26221366,臺中市清水區中山路199-2號
496,清水區,合約醫療院所,全佑家庭醫學科診所,(04)26222011,臺中市清水區新興路260號
497,清水區,合約醫療院所,趙見福診所,(04)26222699,臺中市清水區鎮南街1-2號
498,清水區,合約醫療院所,陽明診所,(04)26234075,臺中市清水區光華路75號
499,清水區,合約醫療院所,蘇光緯診所,(04)26222300,臺中市清水區中山路198號
500,清水區,合約醫療院所,蔡神經科診所,(04)26222050,臺中市清水區中山路134-2號
501,清水區,合約醫療院所,回生家庭醫學科診所,(04)26222050,臺中市清水區中山路134號
502,清水區,合約醫療院所,中華博士診所,(04)26282417,臺中市清水區中華路633號2樓
503,清水區,合約醫療院所,果貿診所,(04)26265497,臺中市清水區建國路98號1樓
504,清水區,合約醫療院所,清水王婦產科診所,(04)26225909,臺中市清水區鎮南街38號
505,沙鹿區,衛生所,臺中市沙鹿區衛生所,(04)26625040,臺中市沙鹿區文昌街20號
506,沙鹿區,合約醫療院所,光田醫療社團法人光田綜合醫院,(04)26625111,臺中巿沙鹿區沙田路117號
507,沙鹿區,合約醫療院所,沙鹿李小兒科診所,(04)26657022,臺中巿沙鹿區沙田路172號
508,沙鹿區,合約醫療院所,小太陽小兒科診所,(04)26365757,臺中巿沙鹿區鎮南路二段631號
509,沙鹿區,合約醫療院所,朱博欣小兒科診所,(04)26630086,臺中巿沙鹿區中山路388-2號
510,沙鹿區,合約醫療院所,孫皓雲診所,(04)26652230,臺中巿沙鹿區北勢東路329號
511,沙鹿區,合約醫療院所,李昭儀兒科診所,(04)26366855,臺中巿沙鹿區光華路113-1號
512,沙鹿區,合約醫療院所,朝安診所,(04)26337172,臺中市沙鹿區鎮南路二段50號
513,沙鹿區,合約醫療院所,家寶兒科診所,(04)26623760,臺中巿沙鹿區中山路388-2號
514,沙鹿區,合約醫療院所,程耳鼻喉科診所,(04)26633990,臺中市沙鹿區中山路386-1號
515,沙鹿區,合約醫療院所,真善美診所,(04)26656037,臺中市沙鹿區成功東街119號
516,沙鹿區,合約醫療院所,林榮宗診所,(04)26625181,臺中市沙鹿區光大路240號
517,沙鹿區,合約醫療院所,彰仁外科家醫科診所,(04)26622902,臺中市沙鹿區大同街65號
518,沙鹿區,合約醫療院所,高銘診所,(04)26620286,臺中市沙鹿區臺灣大道7段791號
519,沙鹿區,合約醫療院所,宜家診所,(04)26629122,臺中市沙鹿區光榮街94號10樓之3
520,沙鹿區,合約醫療院所,晨安診所,(04)26520606,臺中市沙鹿區北勢東路695號
521,沙鹿區,合約醫療院所,得吉診所,(04)26520606,臺中市沙鹿區北勢東路695號
522,沙鹿區,合約醫療院所,蕭英宗耳鼻喉科診所,(04)26631879,臺中市沙鹿區中山路348號
523,沙鹿區,合約醫療院所,鎮安診所,(04)26337172,臺中市沙鹿區鎮南路二段50號
524,沙鹿區,合約醫療院所,許志煌兒科診所,(04)26623790,臺中市沙鹿區鎮南路二段50號
525,大甲區,衛生所,臺中市大甲區衛生所,(04)26872153,臺中市大甲區德興路81號
526,大甲區,合約醫療院所,錫欽診所,(04)26815785,臺中市大甲區通天路178號
527,大甲區,合約醫療院所,力倫診所,(04)26805889,臺中市大甲區蔣公路246號
528,大甲區,合約醫療院所,琉璃光診所,(04)26873051,臺中市大甲區順天路342號
529,大甲區,合約醫療院所,良安診所,(04)26819816,臺中市大甲區日南里幼四路43號
530,大甲區,合約醫療院所,小朋友小兒科診所,(04)26802025,臺中市大甲區蔣公路255號
531,大甲區,合約醫療院所,安榮診所,(04)26801295,臺中市大甲區民生路18號
532,大甲區,合約醫療院所,大元診所,(04)26802250,臺中市大甲區順天路136號
533,大甲區,合約醫療院所,青年診所,(04)26810837,臺中市大甲區日南里青年路8-1號
534,大甲區,合約醫療院所,喜月診所,(04)26881746,臺中市大甲區水源路11號
535,大甲區,合約醫療院所,岷安診所,(04)26873636,臺中市大甲區民生路9-2號
536,大甲區,合約醫療院所,佑安診所,(04)26760248,臺中市大甲區大安港路351號
537,大甲區,合約醫療院所,小熊的森林診所,(04)26805060,臺中市大甲區三民路132號
538,大甲區,合約醫療院所,宏光診所,(04)26882002,臺中市大甲區鎮政路3號
539,大甲區,合約醫療院所,昇和聯合診所,(04)26874615,臺中市大甲區文武路197-8號
540,大甲區,合約醫療院所,李綜合醫療社團法人大甲李綜合醫院,(04)26862288,臺中市大甲區八德街2號
541,大甲區,合約醫療院所,元吉診所,(04)26872012,臺中市大甲區文武路65號
542,大甲區,合約醫療院所,全信賴診所,(04)26762248,臺中市大甲區甲后路5段267號1、2樓
543,大甲區,合約醫療院所,光田醫療社團法人光田綜合醫院大甲院區,(04)26885599,臺中市大甲區經國路321號
544,龍井區,衛生所,臺中市龍井區衛生所,(04)26352228,臺中市龍井區竹坑里沙田路4段243號
545,龍井區,合約醫療院所,東海小兒科診所,(04)26521838,臺中市龍井區新東里新興路96-23號
546,龍井區,合約醫療院所,哲民診所,(04)26328421,臺中市龍井區新東里遊園南路193號
547,龍井區,合約醫療院所,崇祐診所,(04)26321081,臺中市龍井區新東里新興路45-2號
548,龍井區,合約醫療院所,祐晟診所,(04)26326408,臺中市龍井區東海里國際街111號
549,龍井區,合約醫療院所,魏嘉慶家醫科診所,(04)26330053,臺中市龍井區新東里臺灣大道五段109巷29號
550,龍井區,合約醫療院所,龍心診所,(04)26303087,臺中市龍井區三德里中央路二段137號
551,龍井區,合約醫療院所,宏升診所,(04)26390258,臺中市龍井區龍津里中央路一段212-1號
552,龍井區,合約醫療院所,龍安診所,(04)26390685,臺中市龍井區龍東里文昌路433號
553,龍井區,合約醫療院所,博仁家庭醫學科診所,(04)26352253,臺中市龍井區龍泉里沙田路5段45號
554,龍井區,合約醫療院所,惟仁耳鼻喉科診所,(04)26315160,臺中市龍井區新庄里遊園南路250號
555,龍井區,合約醫療院所,崇安診所,(04)26525927,臺中市龍井區新東里遊園南路199號
556,龍井區,合約醫療院所,育恩診所,(04)26528860,臺中市龍井區新庄里遊園南路339之34號
557,龍井區,合約醫療院所,悅亘診所,(04)26524750,臺中市龍井區臺灣大道五段107號
558,烏日區,衛生所,臺中市烏日區衛生所,(04)23381027,臺中市烏日區長樂街136號
559,烏日區,合約醫療院所,烏日林新醫院,(04)23388766,臺中市烏日區榮和路168號
560,烏日區,合約醫療院所,德昌小兒科診所,(04)23372686,臺中市烏日區中山路一段297號
561,烏日區,合約醫療院所,順馨診所,(04)23360115,臺中市烏日區中山路二段335號
562,烏日區,合約醫療院所,施建成診所,(04)23363590,臺中市烏日區中山路一段455號
563,烏日區,合約醫療院所,英和診所,(04)23376998,臺中市烏日區中山路一段367號1樓
564,烏日區,合約醫療院所,烏日澄清醫院,(04)23376232,臺中市烏日區光明路419號
565,烏日區,合約醫療院所,全能家醫科診所,(04)23362629,臺中市烏日區公園路240號
566,烏日區,合約醫療院所,學田診所,(04)23366809,臺中市烏日區學田路便行巷43號1樓
567,烏日區,合約醫療院所,松群診所,(04)23386690,臺中市烏日區公園路88號
568,烏日區,合約醫療院所,烏日林新醫院,(04)23388766,臺中市烏日區榮和路168號
569,烏日區,合約醫療院所,德昌小兒科診所,(04)23372686,臺中市烏日區中山路二段335號
570,烏日區,合約醫療院所,順馨診所,(04)23360115,臺中市烏日區中山路一段297號
571,烏日區,合約醫療院所,施建成診所,(04)23363590,臺中市烏日區中山路一段455號
572,烏日區,合約醫療院所,英和診所,(04)23376998,臺中市烏日區中山路一段367號1樓
573,烏日區,合約醫療院所,烏日澄清醫院,(04)23376232,臺中市烏日區光明路419號
574,烏日區,合約醫療院所,全能家醫科診所,(04)23362629,臺中市烏日區公園路240號
575,烏日區,合約醫療院所,學田診所,(04)23366809,臺中市烏日區學田路便行巷43號1樓
576,烏日區,合約醫療院所,松群診所,(04)23386690,臺中市烏日區公園路88號
577,神岡區,衛生所,臺中市神岡區衛生所,(04)25622792,臺中市神岡區神岡路2號
578,神岡區,合約醫療院所,林炳麟診所,(04)25610165,臺中市神岡區神岡路24號
579,神岡區,合約醫療院所,劉俊欣耳鼻喉科診所,(04)25633797,臺中市神岡區神岡路88巷12號1樓
580,神岡區,合約醫療院所,林政益小兒科診所,(04)25152765,臺中市神岡區中山路33號
581,神岡區,合約醫療院所,晉安診所,(04)25632666,臺中市神岡區中山路906號
582,神岡區,合約醫療院所,文政診所,(04)25630193,臺中市神岡區文政街56號
583,神岡區,合約醫療院所,祥祐診所,(04)25201825,臺中市神岡區五權路69號
584,神岡區,合約醫療院所,李敦錦聯合診所,(04)25617382,臺中市神岡區民生路40-2號
585,神岡區,合約醫療院所,祈安聯合診所,(04)25625470,臺中市神岡區民生路27號
586,神岡區,合約醫療院所,欣源美診所,(04)25633059,臺中市神岡區神岡路45-1號
587,神岡區,合約醫療院所,陳忠義診所,(04)25628672,臺中市神岡區民生路22號
